7.1	9.170659722	8.480439815	8	10.125	7.2	9.388888889	9.666666667	9.4		12	10	9	10	10	10	11	10	10	0	10	10	10	8	9	9	10	10	8	10	10	10	10	9	10
7.1	7.387326389	7.291550926	7	9.125	8.8	7.555555556	7	4.4		9	10	10	8	8	10	7	10	8	10	8	9	10	10	3	7	9	7	7	7	10	10	3	6	2
	5.208072917			5.4375	4.5	5.666666667	8.083333333	2.2		7	7	10	4	5	3	7	5	5	2	8	8	9	4	2	7	10	4	3	8	10	10	9	3	1
5.8	2.089583333	3.326388889	3	2.25	3.2	2.833333333	1.916666667	0		0	2	1	2	0	6	0	4	3	5	6	4	4	0	9	3	0	0	6	3	1	0	0	0	0
7.3	4.261458333	5.274305556	5	6	6.6	2.333333333	5.416666667	1.6		10	9	10	7	3	2	8	10	7	3	8	5	8	3	0	1	1	0	7	5	10	2	4	2	1
5.8	5.631684028	5.687789352	6	6.6875	8	3.111111111	9	2.2		1	1	9	9	10	7	8	8	8	8	6	2	1	8	2	5	3	0	7	9	10	10	9	3	1
	6.888802083			9.3125	8.9	5.833333333	6.75	4		7	9	10	9	10	10	12	10	10	5	10	9	10	8	10	3	3	0	7	3	10	10	6	4	4
6.6	4.903038194	5.46869213	5	9.3125	8.8	4.777777778	1.666666667	0		10	10	10	9	10	8	9	8	9	9	9	7	6	8	0	4	5	4	0	0	10	0	0	0	0
7.4	9.595746528	8.863831019	9	9.8125	8.8	9.611111111	9.75	10		12	6	10	9	10	11	10	10	6	10	9	8	10	10	10	8	10	10	10	9	10	10	10	10	10
6.9	7.558246528	7.338831019	7	8.8125	7.6	8.611111111	5.416666667	7		10	7	8	7	10	10	5	9	7	9	8	7	8	8	10	7	10	9	8	5	3	5	6	5	10
7.9	8.245572917	8.130381944	8	8.1875	7.4	9.666666667	5.5	10		2	9	10	9	10	8	3	10	9	7	8	8	10	10	10	9	10	10	6	0	10	8	6	10	10
7.8	7.842013889	7.828009259	8	9	8.6	6.555555556	9.083333333	6.4		9	6	10	8	10	10	9	10	8	8	8	8	9	10	0	8	7	6	9	8	10	10	9	4	10
7.1	7.46953125	7.346354167	7	9.6875	9.7	6	8.25	4.2		9	10	10	9	10	10	10	10	10	9	5	6	9	8	5	8	10	1	10	8	10	10	5	5	3
7.1	4.983767361	5.689178241	6	8.4375	5.1	3.444444444	6.25	2.2		8	6	10	7	10	9	5	7	5	4	1	1	7	2	0	2	4	7	7	2	10	10	5	3	1
6.9	6.374826389	6.549884259	7	7.875	9.4	5.055555556	6.583333333	3.4		8	8	6	6	8	10	7	10	10	10	7	7	3	3	2	6	4	9	7	9	10	0	6	5	1
6.6	3.58515625	4.590104167	5	5.4375	4.5	1	5.25	2.6		7	9	10	0	5	5	0	9	8	1	1	1	1	1	1	1	1	1	7	4	10	1	5	3	2
6.6	6.77265625	6.715104167	7	8.6875	5.9	5.5	9	5.2		7	8	10	9	10	8	3	4	7	8	8	8	10	8	7	6	3	0	7	10	10	10	8	8	1
	2.884027778			6.75	4.5	1.111111111	2.25	0.4		7	8	10	4	10	4	2	7	7	2	1	4	1	2	1	1	1	0	4	1	1	1	4	0	1
7.4	7.805295139	7.670196759	8	8.9375	8.9	6.055555556	8.916666667	6.8		9	10	10	7	8	10	9	10	8	9	8	6	10	8	1	11	5	4	8	8	10	10	9	10	2
6.9	5.158333333	5.738888889	6	7.25	4.2	3.833333333	8.75	2.2		6	8	3	8	10	7	4	2	7	3	1	1	7	8	3	6	2	1	10	7	10	7	10	3	1
6.9	7.53671875	7.324479167	7	8.5625	7.6	8.5	8.5	4.2		8	10	10	5	10	9	7	10	10	4	8	9	6	8	10	9	10	8	7	6	10	10	10	5	3
7	7.415017361	7.276678241	7	9.6875	8.9	3.944444444	9.5	6.2		9	10	10	9	10	10	9	10	8	9	8	7	8	8	0	2	6	0	10	8	10	10	10	9	2
7.8	7.595225694	7.663483796	8	9.4375	8.8	8.277777778	4.833333333	6.4		7	10	10	9	10	10	8	9	8	10	9	8	8	10	10	9	5	7	4	6	9	1	4	4	10
7.9	6.3640625	6.876041667	7	9.875	6.2	3	7.666666667	6.2		9	10	10	10	10	10	9	7	4	6	6	4	3	8	0	7	0	0	7	9	10	5	7	7	5
7.8	5.824739583	6.483159722	6	8.1875	8.1	4.333333333	5	4		10	10	10	8	5	8	8	4	9	10	8	5	9	8	3	6	1	0	7	3	10	1	5	6	1
5.8	4.089583333	4.659722222	5	7.75	4.7	1.833333333	4.916666667	2		5	10	10	9	9	5	3	7	8	1	2	4	4	3	2	2	0	0	2	2	10	10	3	2	2
	7.318663194			9.0625	6.5	5.277777778	8.833333333	7.6		6	10	10	9	10	9	9	10	0	9	8	9	9	10	0	9	6	0	9	7	10	10	9	8	7
7.7	9.313888889	8.775925926	9	9.75	9.8	9.055555556	9.25	8.8		8	10	10	10	10	10	9	10	10	10	9	10	9	8	10	8	10	9	10	9	10	10	8	8	10
	6.994791667			8.5	6.1	6.666666667	7.416666667	6.4		10	8	10	6	10	8	6	8	7	4	9	7	9	8	2	5	9	7	7	5	9	9	8	6	7
6.9	6.961631944	6.941087963	7	8.625	8.9	2.777777778	9.5	6.4		7	10	10	10	6	9	9	10	8	9	8	0	9	8	0	0	0	0	10	10	10	10	8	8	4
7.9	8.430815972	8.253877315	8	9.0625	9.1	8.388888889	8.416666667	7.2		10	9	10	9	8	9	10	10	9	8	8	8	8	8	7	7	10	10	10	10	10	5	7	10	3
8.4	9.276736111	8.984490741	9	8.75	10	8.944444444	10	8.8		10	8	10	6	10	9	10	10	10	10	8	7	10	8	10	4	8	12	10	10	10	10	10	8	10
	3.248263889			5.25	4.5	4.055555556	2.166666667	0		9	7	10	4	0	5	7	8	2	3	3	3	3	8	3	5	9	0	7	2	3	0	0	0	0
	3.593315972			4.3125	5	3.388888889	5.333333333	0		7	3	2	2	5	6	2	8	6	4	3	0	2	8	8	0	3	0	7	3	10	3	5	0	0
6.3	4.063975694	4.80931713	5	7.4375	5.2	1.777777778	4.666666667	2		8	7	10	9	10	3	5	9	4	4	2	4	2	2	2	3	2	0	3	10	10	0	0	2	2
	6.026215278			8.375	3.2	5.111111111	7.75	6		9	9	10	7	7	9	7	9	0	0	8	0	8	0	0	9	9	8	10	5	10	10	6	10	0
8.2	9.933767361	9.355844907	9	9.6875	9.7	9.944444444	10.33333333	10		9	10	10	9	10	10	10	10	10	9	8	9	10	10	10	9	10	11	12	10	10	10	10	10	10
6.8	4.474392361	5.249594907	5	6.6875	4.7	2.944444444	4.75	3.8		8	8	7	2	5	10	1	9	5	4	3	2	7	1	7	4	1	0	4	0	10	10	3	5	2
5.8	6.82578125	6.483854167	6	9.1875	9.4	5	8.75	2.4		10	10	10	9	8	9	10	10	9	9	8	7	7	8	5	8	3	0	7	7	10	10	10	0	6
7.1	6.386024306	6.624016204	7	8.5625	7.7	3.222222222	9.5	4		8	9	10	8	9	8	6	10	9	6	5	7	3	8	0	5	3	0	10	10	10	10	8	0	10
7.5	7.16328125	7.275520833	7	9.4375	8.7	6.5	8	3.4		7	10	10	9	10	10	8	10	8	9	8	7	10	8	2	7	9	5	7	5	10	10	9	3	4
